0,1,2,3,4,5,6,7,8,9,10,label
9179,1080.1320405272907,565.7772006008922,1474,42,0.0025104337073755313,0.012802168636254156,0.2654973308639285,3.5344628417404698,67,1,techcrunch
20105,1237.7132056702312,458.8690552493177,1474,56,0.0010812997264362098,0.009802899947634369,0.145834369559811,6.241850357031978,63,1,amazon
5147,1094.256654361764,347.1850311908027,1324,68,0.005161804934913542,0.027857228634208753,0.0,5147.0,5147,5147,cnn
1214,681.501647446458,630.8134072567581,1474,42,0.026401405271828663,0.07436931961060834,0.37808896210873144,2.3850687622789786,22,1,stackoverflow
26017,1253.4258369527618,453.9201881312193,1514,42,0.0010163116808240766,0.009267662575524364,0.13041472883114885,7.975781729000613,105,1,amazon
8915,1015.9311273135165,587.1614884683296,1494,42,0.0023879593942793048,0.012788318166466847,0.3011777902411666,3.3439609902475618,71,1,techcrunch
1337,735.4794315632012,647.855966663145,1474,42,0.026184661929693345,0.07573928926180071,0.3507853403141361,2.701010101010101,27,1,stackoverflow
4652,1143.5350386930352,308.0914605834018,1304,68,0.006003452708512468,0.044237934995971284,0.0,4652.0,4652,4652,cnn
13474,1241.4450051951908,475.73058693182674,1511,42,0.0015162584236306962,0.012873287452873304,0.13381327000148435,7.498052309404563,116,1,amazon
4488,902.635918003565,604.1118724473325,1474,42,0.005201124777183601,0.023153825454373552,0.3493761140819964,2.743276283618582,52,1,techcrunch
7674,1052.394709408392,567.558740646814,1514,42,0.002612328902788637,0.014860720368367187,0.26088089653375035,3.741589468551926,36,1,techcrunch
11402,1207.655499035257,487.51783193003735,1474,56,0.0016440397298719523,0.01402284396502649,0.14681634800912122,6.289023717595146,87,1,amazon
4495,1140.7728587319243,313.9700647785286,1304,80,0.0036512778642936593,0.03785922596492686,0.0,4495.0,4495,4495,cnn
